id	entrezid	symbol
467	572	BAD
468	573	BAG1
469	574	BAGE
470	575	ADGRB1
471	576	ADGRB2
472	577	ADGRB3
473	578	BAK1
474	579	NKX3-2
475	580	BARD1
476	581	BAX
477	582	BBS1
478	583	BBS2
479	585	BBS4
480	586	BCAT1
481	587	BCAT2
482	590	BCHE
483	593	BCKDHA
484	594	BCKDHB
485	595	CCND1
486	596	BCL2
487	597	BCL2A1
488	598	BCL2L1
489	599	BCL2L2
490	600	BAK1P1
491	601	BAK1P2
492	602	BCL3
493	603	BCL5
494	604	BCL6
495	605	BCL7A
496	606	NBEAP1
497	607	BCL9
498	608	TNFRSF17
499	610	HCN2
500	611	OPN1SW
501	613	BCR
502	616	BCRP4
503	617	BCS1L
504	618	BCYRN1
505	619	BCYRN1P1
506	620	BCYRN1P2
507	622	BDH1
508	623	BDKRB1
509	624	BDKRB2
510	627	BDNF
511	628	BEVI
512	629	CFB
513	631	BFSP1
514	632	BGLAP
515	633	BGN
516	634	CEACAM1
517	635	BHMT
518	636	BICD1
519	637	BID
520	638	BIK
521	639	PRDM1
522	640	BLK
523	641	BLM
524	642	BLMH
525	643	CXCR5
526	644	BLVRA
527	645	BLVRB
528	646	BNC1
529	648	BMI1
530	649	BMP1
531	650	BMP2
532	651	BMP3
533	652	BMP4
534	653	BMP5
535	654	BMP6
536	655	BMP7
537	656	BMP8B
538	657	BMPR1A
539	658	BMPR1B
540	659	BMPR2
541	660	BMX
542	661	POLR3D
543	662	BNIP1
544	663	BNIP2
545	664	BNIP3
546	665	BNIP3L
547	666	BOK
548	667	DST
549	668	FOXL2
550	669	BPGM
551	670	BPHL
552	671	BPI
553	672	BRCA1
554	673	BRAF
555	675	BRCA2
556	676	BRDT
557	677	ZFP36L1
558	678	ZFP36L2
559	680	BRS3
560	682	BSG
561	683	BST1
562	684	BST2
563	685	BTC
564	686	BTD
565	687	KLF9
566	688	KLF5
567	689	BTF3
568	690	BTF3P11
569	693	BTF3P1
570	694	BTG1
571	695	BTK
572	696	BTN1A1
573	699	BUB1
574	700	BVR1
575	701	BUB1B
576	705	BYSL
577	706	TSPO
578	708	C1QBP
579	710	SERPING1
580	711	ERC2-IT1
581	712	C1QA
582	713	C1QB
583	714	C1QC
584	715	C1R
585	716	C1S
586	717	C2
587	718	C3
588	719	C3AR1
589	720	C4A
590	721	C4B
591	722	C4BPA
592	724	C4BPAP2
593	725	C4BPB
594	726	CAPN5
595	727	C5
596	728	C5AR1
597	729	C6
598	730	C7
599	731	C8A
600	732	C8B
601	733	C8G
602	734	OSGIN2
603	735	C9
604	738	VPS51
605	740	MRPL49
606	741	ZNHIT2
607	744	MPPED2
608	745	MYRF
609	746	TMEM258
610	747	DAGLA
611	750	GAS8-AS1
612	752	FMNL1
613	753	LDLRAD4
614	754	PTTG1IP
615	755	CFAP410
616	757	TMEM50B
617	758	MPPED1
618	759	CA1
619	760	CA2
620	761	CA3
621	762	CA4
622	763	CA5A
623	764	CA5AP1
624	765	CA6
625	766	CA7
626	767	CA8
627	768	CA9
628	770	CA11
629	771	CA12
630	772	CACD
631	773	CACNA1A
632	774	CACNA1B
633	775	CACNA1C
634	776	CACNA1D
635	777	CACNA1E
636	778	CACNA1F
637	779	CACNA1S
638	780	DDR1
639	781	CACNA2D1
640	782	CACNB1
641	783	CACNB2
642	784	CACNB3
643	785	CACNB4
644	786	CACNG1
645	788	SLC25A20
646	789	SLC25A20P1
647	790	CAD
648	793	CALB1
649	794	CALB2
650	795	S100G
651	796	CALCA
652	797	CALCB
653	798	CALCP
654	799	CALCR
655	800	CALD1
656	801	CALM1
657	802	CALM1P1
658	804	CALM1P2
659	805	CALM2
660	806	CALM2P2
661	807	CALM2P3
662	808	CALM3
663	810	CALML3
664	811	CALR
665	813	CALU
666	814	CAMK4
667	815	CAMK2A
668	816	CAMK2B
669	817	CAMK2D
670	818	CAMK2G
671	819	CAMLG
672	820	CAMP
673	821	CANX
674	822	CAPG
675	823	CAPN1
676	824	CAPN2
677	825	CAPN3
678	826	CAPNS1
679	827	CAPN6
680	828	CAPS
681	829	CAPZA1
682	830	CAPZA2
683	831	CAST
684	832	CAPZB
685	833	CARS1
686	834	CASP1
687	835	CASP2
688	836	CASP3
689	837	CASP4
690	838	CASP5
691	839	CASP6
692	840	CASP7
693	841	CASP8
694	842	CASP9
695	843	CASP10
696	844	CASQ1
697	845	CASQ2
698	846	CASR
699	847	CAT
700	856	CATR1
701	857	CAV1
702	858	CAV2
703	859	CAV3
704	860	RUNX2
705	861	RUNX1
706	862	RUNX1T1
707	863	CBFA2T3
708	864	RUNX3
709	865	CBFB
710	866	SERPINA6
711	867	CBL
712	868	CBLB
713	869	CBLN1
714	871	SERPINH1
715	873	CBR1
716	874	CBR3
717	875	CBS
718	878	CCA1
719	881	CCIN
720	882	CCAL1
721	883	KYAT1
722	885	CCK
723	886	CCKAR
724	887	CCKBR
725	889	KRIT1
726	890	CCNA2
727	891	CCNB1
728	892	CCNC
729	894	CCND2
