大枣,甘遂,芫花,大戟,,,,,,,,,,,,,,,,,,,,,
黄连,桂枝,甘草,乾姜,半夏,大枣,人参,,,,,,,,,,,,,,,,,,
黄连,黄芩,芍药,鸡子黄,阿胶,,,,,,,,,,,,,,,,,,,,
茯苓,猪苓,泽泻,滑石,阿胶,,,,,,,,,,,,,,,,,,,,
猪肤,蜜,白粉,,,,,,,,,,,,,,,,,,,,,,
旋覆花,甘草,代赭石,半夏,大枣,人参,生姜,,,,,,,,,,,,,,,,,,
麻黄,桂枝,甘草,杏仁,,,,,,,,,,,,,,,,,,,,,
麻黄,附子,甘草,,,,,,,,,,,,,,,,,,,,,,
麻黄,杏仁,甘草,赤小豆,连轺,梓白皮,大枣,生姜,,,,,,,,,,,,,,,,,
麻黄,附子,细辛,,,,,,,,,,,,,,,,,,,,,,
麻黄,杏仁,甘草,石膏,,,,,,,,,,,,,,,,,,,,,
麻黄,升麻,当归,知母,黄芩,萎蕤,石膏,白朮,乾姜,芍药,天冬,桂枝,茯苓,甘草,,,,,,,,,,,
大黄,厚朴,枳实,麻子仁,芍药,杏仁,,,,,,,,,,,,,,,,,,,
葛根,麻黄,桂枝,芍药,甘草,大枣,生姜,,,,,,,,,,,,,,,,,,
葛根,麻黄,桂枝,芍药,甘草,大枣,生姜,半夏,,,,,,,,,,,,,,,,,
葛根,黄芩,黄连,甘草,,,,,,,,,,,,,,,,,,,,,
栝楼根,桂枝,芍药,甘草,生姜,大枣,,,,,,,,,,,,,,,,,,,
葛根,麻黄,桂枝,芍药,甘草,生姜,大枣,,,,,,,,,,,,,,,,,,
大黄,厚朴,枳实,芒硝,,,,,,,,,,,,,,,,,,,,,
麻黄,桂枝,甘草,杏仁,白术,,,,,,,,,,,,,,,,,,,,
麻黄,甘草,薏苡仁,杏仁,,,,,,,,,,,,,,,,,,,,,
防己,甘草,白术,黄芪,,,,,,,,,,,,,,,,,,,,,
桂枝,生姜,附子,甘草,大枣,,,,,,,,,,,,,,,,,,,,
白术,附子,甘草,生姜,大枣,,,,,,,,,,,,,,,,,,,,
甘草,白术,附子,桂枝,,,,,,,,,,,,,,,,,,,,,
知母,石膏,甘草,粳米,人参,,,,,,,,,,,,,,,,,,,,
百合,知母,,,,,,,,,,,,,,,,,,,,,,,
百合,滑石,代赭石,,,,,,,,,,,,,,,,,,,,,,
百合,鸡子黄,,,,,,,,,,,,,,,,,,,,,,,
百合,生地黄汁,,,,,,,,,,,,,,,,,,,,,,,
栝楼根,牡蛎,,,,,,,,,,,,,,,,,,,,,,,
百合,滑石,,,,,,,,,,,,,,,,,,,,,,,
甘草,黄芩,人参,干姜,黄连,大枣,半夏,,,,,,,,,,,,,,,,,,
赤小豆,当归,,,,,,,,,,,,,,,,,,,,,,,
升麻,当归,蜀椒,甘草,雄黄,鳖甲,,,,,,,,,,,,,,,,,,,
鳖甲,射干,黄芩,柴胡,鼠妇,干姜,大黄,芍药,桂枝,葶苈,石韦,厚朴,牡丹,瞿麦,紫葳,半夏,人参,蜇虫,阿胶,蜂窠,赤硝,蜣螂,桃仁,锻灶下灰,清酒
知母,甘草,石膏,粳米,桂枝,,,,,,,,,,,,,,,,,,,,
蜀漆,云母,龙骨,,,,,,,,,,,,,,,,,,,,,,
牡蛎,麻黄,甘草,蜀漆,,,,,,,,,,,,,,,,,,,,,
柴胡,人参,黄芩,甘草,栝楼根,生姜,大枣,,,,,,,,,,,,,,,,,,
柴胡,桂枝,干姜,黄芩,栝楼根,牡蛎,甘草,,,,,,,,,,,,,,,,,,
菊花,白术,细辛,茯苓,牡蛎,桔梗,防风,人参,矾石,黄芩,当归,干姜,川芎,桂枝,,,,,,,,,,,
大黄,干姜,龙骨,桂枝,甘草,牡蛎,寒水石,滑石,赤石脂,白石脂,紫石英,石膏,,,,,,,,,,,,,
防己,桂枝,防风,甘草,生地黄,,,,,,,,,,,,,,,,,,,,
大附子,盐,,,,,,,,,,,,,,,,,,,,,,,
桂枝,芍药,甘草,麻黄,生姜,白术,知母,防风,附子,,,,,,,,,,,,,,,,
麻黄,芍药,黄芪,甘草,川乌,,,,,,,,,,,,,,,,,,,,
麻黄,桂枝,当归,人参,石膏,干姜,甘草,川芎,杏仁,,,,,,,,,,,,,,,,
