02_Info_Herbs_Name_herb_ID,child_ID,herb_cn_name,herb_pinyin,herb_en_name,23_Herbs_Molecules_Relationships_ID,23_Herbs_Molecules_Relationships_herb_ID,23_Herbs_Molecules_Relationships_Mol_ID,03_Info_Molecules_ID,03_Info_Molecules_MOL_ID,mol_name,molecule_name,ob,mw,alogp,caco2,bbb,hdon,hacc,drug-likeness,inchikey,PubChem_Cid,halflife,RBN,TPSA,FASA-
90,30,´óÔæ,Dazao,Jujubae Fructus,5205,90,MOL000050,50,MOL000050,GLY,GLY,48.73713548,75.08,-0.978,-0.55597,-1.02919,3,3,0.0033178,DHMQDGOQFOQNFH-UHFFFAOYSA-N,5257127,11.946,1,63.32,0
35,25,°ëÏÄ,Banxia,Arum Ternatum Thunb.,2150,35,MOL000050,50,MOL000050,GLY,GLY,48.73713548,75.08,-0.978,-0.55597,-1.02919,3,3,0.0033178,DHMQDGOQFOQNFH-UHFFFAOYSA-N,5257127,11.946,1,63.32,0
320,34,ÜÍÊµ,Qianshi,Euryales Semen,19691,320,MOL000050,50,MOL000050,GLY,GLY,48.73713548,75.08,-0.978,-0.55597,-1.02919,3,3,0.0033178,DHMQDGOQFOQNFH-UHFFFAOYSA-N,5257127,11.946,1,63.32,0
262,5,ÂÌ¶¹,Lvdou,Vigna Radiata,15872,262,MOL000050,50,MOL000050,GLY,GLY,48.73713548,75.08,-0.978,-0.55597,-1.02919,3,3,0.0033178,DHMQDGOQFOQNFH-UHFFFAOYSA-N,5257127,11.946,1,63.32,0
361,34,É½ÜïÝÇ,Shanzhuyu,Cornus Officinalis Sieb. Et Zucc.,22296,361,MOL000052,52,MOL000052,Gulutamine,Gulutamine,6.655918569,147.15,-0.924,-1.05342,-1.97001,4,5,0.021387,WHUUTDBJXJRKMK-VKHMYHEASA-N,44272391,,4,100.62,0
359,30,É½Ò©,Shanyao,Rhizoma Dioscoreae,22120,359,MOL000052,52,MOL000052,Gulutamine,Gulutamine,6.655918569,147.15,-0.924,-1.05342,-1.97001,4,5,0.021387,WHUUTDBJXJRKMK-VKHMYHEASA-N,44272391,,4,100.62,0
389,17,Ì´Ïã,Tanxiang,Santalum Album L£®,23671,389,MOL000052,52,MOL000052,Gulutamine,Gulutamine,6.655918569,147.15,-0.924,-1.05342,-1.97001,4,5,0.021387,WHUUTDBJXJRKMK-VKHMYHEASA-N,44272391,,4,100.62,0
379,5,Ë®·É¼»,Shuifeiji,Silybum Marianum,23364,379,MOL000052,52,MOL000052,Gulutamine,Gulutamine,6.655918569,147.15,-0.924,-1.05342,-1.97001,4,5,0.021387,WHUUTDBJXJRKMK-VKHMYHEASA-N,44272391,,4,100.62,0
22,30,°×Êõ,Baizhu,Atractylodes Macrocephala Koidz.,1242,22,MOL000052,52,MOL000052,Gulutamine,Gulutamine,6.655918569,147.15,-0.924,-1.05342,-1.97001,4,5,0.021387,WHUUTDBJXJRKMK-VKHMYHEASA-N,44272391,,4,100.62,0
35,25,°ëÏÄ,Banxia,Arum Ternatum Thunb.,2155,35,MOL000052,52,MOL000052,Gulutamine,Gulutamine,6.655918569,147.15,-0.924,-1.05342,-1.97001,4,5,0.021387,WHUUTDBJXJRKMK-VKHMYHEASA-N,44272391,,4,100.62,0
